survey_year,age,gender,race,ethnicity,language_home,citizenship_status,place_birth,immigrant_generation,trump_support,border_wall_support,immigration_level_concern,border_asylum_performance,presidential_performance,crime_priority,immigration_restrictionism_composite,party_identification,immigration_attitude,border_security_attitude,political_party,vote_intention,approval_rating
2015,28,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,39,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,19,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,63,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,71,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,31,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,59,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,28,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,65,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,74,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,74,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,40,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,56,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,52,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,73,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,66,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,49,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,85,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,65,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,65,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,61,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,79,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
