survey_year,immigration_levels_opinion,legalization_support,deportation_worry,gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,political_party
2002,1,1,NA,2,NA,1,3,1,1,30,1,2,3,1,1
2002,3,1,NA,2,NA,1,3,1,1,33,2,1,NA,1,3
2002,3,1,NA,2,NA,2,23,1,1,9,1,1,NA,1,2
2002,2,1,NA,2,NA,1,1,5,1,4,2,1,NA,1,2
2002,1,1,NA,1,NA,2,13,1,1,4,1,2,1,3,3
2002,3,1,NA,2,NA,1,3,5,3,30,1,2,3,2,NA
2002,1,1,NA,2,NA,3,3,4,1,9,1,1,NA,1,1
2002,3,1,NA,1,NA,1,4,5,1,9,2,1,NA,1,3
2002,1,1,NA,2,NA,3,6,3,1,33,NA,NA,NA,NA,1
2002,3,1,NA,2,NA,1,4,2,3,30,2,1,NA,1,1
2002,3,1,NA,2,NA,1,NA,1,3,30,1,1,NA,1,2
2002,3,1,NA,2,NA,1,4,3,3,9,1,2,3,2,2
2002,3,1,NA,2,NA,1,NA,5,3,42,1,2,3,2,1
2002,1,1,NA,2,NA,1,NA,1,1,42,2,1,NA,1,2
2002,1,1,NA,2,NA,1,4,1,1,42,1,2,3,2,1
2002,1,1,NA,2,NA,3,6,5,1,42,1,2,3,2,2
2002,1,1,NA,1,NA,1,2,4,3,4,1,1,NA,1,1
2002,NA,1,NA,2,NA,1,5,1,3,9,2,1,NA,1,2
2002,3,1,NA,2,NA,1,6,1,1,30,1,2,3,1,1
2002,1,1,NA,1,NA,1,5,5,1,30,1,1,NA,1,2
2002,3,1,NA,1,NA,1,3,1,3,30,1,1,NA,1,2
2002,3,1,NA,2,NA,3,21,1,1,42,2,1,NA,1,NA
2002,3,0,NA,2,NA,1,21,1,1,33,1,2,1,1,1
2002,NA,NA,NA,1,NA,2,1,1,1,33,2,1,NA,1,NA
2002,1,1,NA,1,NA,1,14,2,2,42,1,2,1,3,3
2002,3,1,NA,2,NA,1,6,3,3,4,1,2,3,1,1
2002,2,1,NA,1,NA,1,4,3,3,4,1,2,1,NA,2
2002,1,1,NA,1,NA,2,1,5,1,13,NA,1,NA,1,2
2002,3,1,NA,2,NA,1,12,1,2,42,2,1,NA,1,NA
2002,1,1,NA,1,NA,3,24,1,1,4,1,1,NA,1,1
2002,3,1,NA,2,NA,1,4,5,1,4,1,2,1,3,2
2002,3,1,NA,2,NA,1,4,3,1,4,2,1,NA,1,3
2002,3,0,NA,1,NA,2,22,1,1,4,1,2,1,3,3
2002,1,1,NA,2,NA,1,4,2,1,30,2,1,NA,1,NA
2002,NA,1,NA,1,NA,2,11,3,1,33,2,1,NA,1,NA
2002,3,1,NA,2,NA,1,4,3,1,33,2,1,NA,1,1
2002,1,1,NA,2,NA,3,25,1,3,33,1,2,1,3,1
2002,1,1,NA,2,NA,1,1,2,2,33,1,2,3,2,NA
2002,1,1,NA,1,NA,2,4,3,1,33,1,2,1,1,3
2002,3,1,NA,2,NA,1,4,1,2,33,1,2,3,1,NA
