gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,immigration_levels_opinion,legalization_support,deportation_worry,political_party
1,47,1,3,NA,1,NA,1,2,3,1,3,NA,2,3
1,41,3,13,NA,1,NA,1,2,3,1,NA,NA,3,NA
1,41,1,25,1,1,NA,0,1,3,2,1,NA,3,2
0,26,1,4,1,2,NA,0,1,3,2,1,NA,1,3
0,32,1,7,NA,2,NA,0,2,3,1,3,NA,1,NA
0,NA,NA,NA,NA,NA,NA,NA,2,1,1,3,NA,4,2
0,46,4,11,1,1,NA,0,2,3,1,1,NA,1,2
0,31,1,1,2,1,NA,0,1,3,2,3,NA,1,NA
0,79,1,NA,1,2,NA,NA,1,3,2,3,NA,1,NA
0,55,1,4,NA,1,NA,1,2,3,1,1,NA,2,1
1,39,1,5,1,1,NA,1,1,3,2,1,NA,1,3
1,73,4,NA,3,2,NA,NA,1,2,2,NA,NA,3,3
1,55,1,2,5,2,NA,0,1,3,2,3,NA,3,3
0,69,1,NA,4,2,NA,0,1,3,2,1,NA,1,NA
0,64,3,7,1,2,NA,1,1,2,2,2,NA,1,2
1,74,1,NA,2,2,NA,0,1,3,2,1,NA,NA,3
0,51,1,2,3,2,NA,1,1,3,2,1,NA,2,2
1,28,1,4,1,2,NA,0,1,2,2,1,NA,1,NA
0,29,4,12,NA,2,NA,1,1,3,2,3,NA,4,3
0,67,1,4,3,2,NA,1,1,3,2,3,NA,3,NA
1,62,1,1,1,2,NA,0,2,3,1,3,NA,4,3
1,50,1,1,5,2,NA,NA,1,1,3,3,NA,1,3
0,37,1,2,1,1,NA,0,1,3,2,3,NA,1,2
0,44,3,4,1,1,NA,0,2,3,1,1,NA,3,2
0,35,1,NA,5,2,NA,0,2,3,1,NA,NA,4,NA
1,53,1,6,NA,1,NA,NA,2,1,1,1,NA,3,3
1,23,1,6,NA,1,NA,0,1,3,2,1,NA,3,NA
0,34,1,4,NA,1,NA,0,1,3,2,3,NA,4,3
0,NA,1,NA,NA,1,NA,1,1,NA,NA,3,NA,4,NA
0,47,1,6,NA,1,NA,1,2,3,1,1,NA,4,3
0,59,1,NA,4,1,NA,1,1,3,2,1,NA,2,NA
0,40,1,23,1,2,NA,1,1,3,2,1,NA,1,NA
0,35,1,4,1,1,NA,0,1,3,2,3,NA,2,2
0,35,1,NA,1,1,NA,0,1,3,2,3,NA,2,NA
1,47,1,NA,1,1,NA,1,1,3,2,NA,NA,2,3
0,27,3,NA,2,2,NA,NA,1,3,2,1,NA,1,NA
1,40,3,7,1,1,NA,0,2,3,1,NA,NA,2,NA
0,25,1,12,2,2,NA,0,2,3,1,1,NA,2,NA
0,NA,1,NA,NA,2,NA,0,1,3,2,1,NA,1,3
0,38,1,2,1,2,NA,0,1,3,2,3,NA,1,3
0,53,1,NA,1,1,NA,1,1,2,2,1,NA,1,2
0,28,1,5,NA,1,NA,NA,2,2,1,3,NA,2,3
1,52,1,23,1,1,NA,1,1,3,2,3,NA,1,2
1,64,4,3,5,2,NA,1,1,3,2,2,NA,1,2
0,40,1,4,1,1,NA,0,1,3,2,3,NA,1,NA
1,35,1,22,1,1,NA,0,1,3,2,3,NA,3,3
0,72,1,NA,3,2,NA,1,1,3,2,1,NA,4,2
0,43,1,22,1,1,NA,1,1,3,2,3,NA,4,3
0,55,1,23,1,1,NA,1,2,3,1,1,NA,1,1
1,48,3,5,4,1,NA,0,2,3,1,3,NA,1,3
0,55,3,3,1,1,NA,0,2,3,1,2,NA,1,3
0,48,3,3,1,2,NA,0,1,3,2,3,NA,1,2
0,37,1,7,4,2,NA,0,1,3,2,1,NA,1,2
0,31,4,24,NA,1,NA,1,2,3,1,3,NA,1,2
1,48,1,12,1,1,NA,0,1,3,2,2,NA,1,NA
1,22,3,21,4,1,NA,1,1,3,2,1,NA,1,NA
1,61,3,21,1,1,NA,NA,1,1,3,NA,NA,2,2
0,18,1,3,2,2,NA,NA,1,3,2,1,NA,1,3
1,22,NA,1,NA,1,NA,0,1,3,2,1,NA,3,2
0,38,3,NA,1,1,NA,NA,1,3,2,1,NA,2,2
1,27,4,6,NA,1,NA,1,2,3,1,1,NA,2,2
0,18,1,NA,NA,2,NA,1,2,3,1,3,NA,4,3
0,45,3,11,2,1,NA,NA,1,3,2,1,NA,4,2
0,NA,1,1,4,2,NA,NA,1,2,2,1,NA,4,2
1,54,1,2,5,2,NA,1,1,3,2,1,NA,4,2
0,65,1,5,1,2,NA,1,1,3,2,2,NA,3,2
0,44,1,2,NA,1,NA,0,2,3,1,1,NA,2,3
0,68,1,6,1,2,NA,1,1,3,2,3,NA,4,3
0,47,1,11,1,2,NA,0,1,3,2,1,NA,1,NA
0,23,1,NA,5,2,NA,1,1,3,2,1,NA,1,3
0,44,4,5,5,2,NA,NA,2,1,1,3,NA,3,2
1,32,1,12,2,1,NA,0,1,3,2,NA,NA,4,NA
0,19,4,1,2,NA,NA,0,1,3,2,1,NA,1,NA
0,39,1,5,2,1,NA,0,2,3,1,1,NA,1,NA
0,43,1,NA,1,1,NA,0,2,3,1,NA,NA,4,NA
0,NA,NA,NA,1,NA,NA,NA,1,3,2,3,NA,NA,NA
0,62,1,4,1,1,NA,1,2,3,1,1,NA,1,3
0,18,4,NA,NA,1,NA,NA,2,3,1,3,NA,4,NA
0,42,4,6,4,2,NA,0,1,3,2,1,NA,1,NA
1,60,1,3,3,1,NA,0,1,3,2,3,NA,2,NA
0,34,3,6,4,1,NA,NA,1,3,2,NA,NA,3,1
1,38,1,5,1,2,NA,0,1,3,2,1,NA,1,2
1,33,1,6,1,1,NA,0,1,3,2,3,NA,1,2
1,32,3,5,1,1,NA,1,2,3,1,1,NA,2,3
1,39,1,11,5,1,NA,0,1,3,2,1,NA,1,3
0,39,3,NA,4,1,NA,1,2,3,1,3,NA,4,3
0,45,3,4,5,1,NA,NA,1,1,3,1,NA,2,NA
0,30,3,4,2,1,NA,0,1,3,2,1,NA,2,NA
0,22,1,NA,NA,2,NA,NA,1,1,3,1,NA,4,2
0,32,1,1,1,2,NA,0,2,3,1,1,NA,1,3
1,54,3,NA,1,1,NA,1,1,1,3,2,NA,1,2
1,30,1,3,5,1,NA,0,1,3,2,1,NA,3,3
0,38,1,12,1,2,NA,1,1,3,2,2,NA,1,3
1,45,1,4,1,1,NA,0,1,3,2,NA,NA,2,2
0,35,1,2,1,1,NA,0,2,3,1,1,NA,1,NA
1,56,1,2,1,1,NA,0,2,3,1,1,NA,1,NA
0,55,4,14,1,2,NA,1,1,3,2,1,NA,1,2
0,48,4,7,2,1,NA,1,2,3,1,3,NA,3,3
1,40,4,11,NA,2,NA,NA,1,3,2,3,NA,3,3
0,32,1,NA,1,2,NA,0,1,3,2,1,NA,1,NA
0,34,4,NA,1,2,NA,NA,2,1,1,1,NA,4,2
1,46,3,22,1,2,NA,1,2,3,1,3,NA,2,3
1,58,1,NA,1,1,NA,0,2,3,1,2,NA,1,NA
1,55,1,11,2,2,NA,NA,1,1,3,1,NA,NA,2
0,36,4,21,1,2,NA,NA,1,1,3,3,NA,1,2
0,34,1,NA,2,1,NA,0,1,3,2,1,NA,1,3
0,31,1,13,1,1,NA,0,1,3,2,1,NA,1,3
0,31,1,3,1,1,NA,0,2,3,1,1,NA,1,NA
1,36,1,3,1,1,NA,0,2,3,1,1,NA,2,3
0,35,1,12,1,2,NA,0,1,3,2,1,NA,2,3
1,50,1,5,1,1,NA,1,2,3,1,3,NA,1,1
0,42,3,21,1,2,NA,NA,1,1,3,3,NA,3,1
0,63,1,3,4,2,NA,NA,2,1,1,2,NA,1,3
0,39,1,5,1,1,NA,0,2,3,1,1,NA,3,2
1,34,1,5,2,1,NA,0,2,3,1,1,NA,1,NA
1,NA,NA,NA,NA,NA,NA,0,2,3,1,3,NA,1,NA
1,26,1,6,1,1,NA,0,2,3,1,1,NA,1,3
1,32,3,12,4,1,NA,0,2,3,1,3,NA,1,3
1,65,1,NA,1,2,NA,0,1,3,2,1,NA,1,2
0,56,3,13,1,1,NA,NA,1,3,2,1,NA,2,2
1,73,1,4,1,2,NA,0,1,3,2,3,NA,4,2
1,48,1,11,1,1,NA,1,2,3,1,3,NA,2,1
0,32,4,24,1,1,NA,0,1,3,2,3,NA,4,3
1,19,1,4,NA,1,NA,NA,2,3,1,2,NA,2,2
1,51,4,2,1,2,NA,0,2,3,1,NA,NA,1,NA
1,70,4,21,1,2,NA,NA,2,1,1,1,NA,2,3
0,22,3,5,1,1,NA,NA,1,2,2,3,NA,4,NA
0,29,1,6,1,2,NA,0,2,3,1,1,NA,4,NA
0,NA,1,7,3,1,NA,0,1,3,2,3,NA,1,3
0,44,1,21,1,1,NA,0,2,3,1,NA,NA,4,NA
0,53,1,4,3,1,NA,1,2,3,1,1,NA,1,2
0,53,4,23,4,1,NA,NA,1,2,2,1,NA,4,2
0,35,3,14,4,1,NA,NA,1,2,2,3,NA,4,3
1,65,1,1,1,2,NA,0,1,3,2,1,NA,3,2
1,27,1,6,1,1,NA,0,1,3,2,1,NA,1,3
0,32,1,22,1,1,NA,NA,1,1,3,1,NA,4,2
1,28,4,5,1,1,NA,0,1,3,2,1,NA,4,3
1,36,1,14,1,1,NA,0,2,3,1,NA,NA,3,NA
0,28,1,3,2,1,NA,NA,2,3,1,3,NA,1,2
0,26,1,6,1,2,NA,0,1,3,2,1,NA,3,3
0,31,3,6,1,1,NA,NA,1,1,3,3,NA,4,3
0,42,1,3,1,1,NA,1,2,3,1,3,NA,2,NA
1,57,1,4,1,1,NA,1,1,3,2,NA,NA,3,2
0,28,3,NA,5,1,NA,0,2,3,1,3,NA,1,NA
1,51,NA,23,1,1,NA,NA,1,1,3,3,NA,4,1
1,50,1,5,2,1,NA,0,1,3,2,3,NA,1,3
1,30,1,6,1,1,NA,0,2,3,1,1,NA,1,2
1,62,1,3,1,2,NA,1,2,3,1,1,NA,3,2
0,42,3,4,1,2,NA,1,2,3,1,3,NA,1,2
0,42,4,23,1,1,NA,NA,1,3,2,2,NA,1,NA
1,58,1,2,1,2,NA,0,1,3,2,3,NA,1,2
0,24,1,4,NA,2,NA,NA,1,3,2,3,NA,3,NA
